,Price,Total_Sqft,Location,BHK,Price_Per_Sqft
0,6700000,1180,5th Phase,2,5677
1,5800000,1185,5th Phase,2,4894
3,8400000,1180,5th Phase,2,7118
4,4876000,1185,5th Phase,2,4114
6,7498999,1180,5th Phase,2,6355
7,4800000,1180,5th Phase,2,4067
8,13200000,1180,5th Phase,2,11186
9,16000000,1185,5th Phase,2,13502
10,4000000,910,Abbigere,2,4395
11,4000000,910,Abbigere,2,4395
12,4000000,940,Abbigere,2,4255
13,3800000,940,Abbigere,2,4042
14,3100000,910,Abbigere,2,3406
15,3100000,910,Abbigere,2,3406
16,4833000,910,Abbigere,2,5310
17,3800000,910,Abbigere,2,4175
18,4000000,940,Abbigere,2,4255
19,4860000,940,Abbigere,2,5170
20,4000000,940,Abbigere,2,4255
21,3180000,910,Abbigere,2,3494
22,4300000,940,Abbigere,2,4574
23,5000000,910,Abbigere,2,5494
24,2800000,560,Adambakkam,1,5000
25,8000000,1000,Adambakkam,2,8000
26,10000000,1293,Adambakkam,3,7733
27,10700000,1355,Adambakkam,3,7896
28,10700000,1355,Adambakkam,3,7896
29,5500000,1000,Adambakkam,2,5500
30,6681999,956,Adambakkam,2,6989
31,8000000,995,Adambakkam,2,8040
32,3167000,510,Adambakkam,1,6209
33,4500000,954,Adambakkam,2,4716
34,7998999,881,Adambakkam,2,9079
35,3100000,950,Adambakkam,2,3263
38,2022000,1010,Adibatla,2,2001
39,2200000,1050,Adibatla,2,2095
40,2800000,1200,Adibatla,2,2333
41,2200000,1000,Adibatla,2,2200
42,2500000,1100,Adibatla,2,2272
43,2304000,1002,Adibatla,2,2299
44,2300000,1000,Adibatla,2,2300
45,3742000,1134,Adibatla,2,3299
46,2536000,710,Adibatla,1,3571
47,5004000,1390,Adibatla,3,3600
48,18900000,988,Adugodi,1,19129
49,22599999,1860,Adugodi,3,12150
50,9000000,1495,Adugodi,2,6020
51,9000000,1083,Adugodi,2,8310
52,23000000,1460,Adugodi,2,15753
55,14300000,988,Adugodi,1,14473
56,13799999,1445,Adugodi,2,9550
58,4304000,1083,Adugodi,2,3974
59,3232000,1127,Adugodi,2,2867
60,30000000,1975,Adyar,3,15189
61,34000000,2380,Adyar,4,14285
62,22400000,1451,Adyar,3,15437
63,7000000,1000,Adyar,2,7000
64,12000000,1090,Adyar,2,11009
65,5808000,1800,Adyar,3,3226
66,48600000,3595,Adyar,4,13518
67,57000000,3615,Adyar,4,15767
68,26000000,2610,Adyar,4,9961
69,4605000,2000,Adyar,3,2302
70,5426000,1200,Adyar,3,4521
71,4882000,1200,Adyar,3,4068
72,5460000,2017,Adyar,3,2706
73,5375000,1851,Adyar,3,2903
74,7900000,1500,Adyar,3,5266
75,12500000,1550,Adyar,2,8064
76,19500000,2380,Adyar,4,8193
77,18300000,1500,Adyar,3,12200
78,23200000,1545,Adyar,3,15016
79,7000000,2500,Adyar,3,2800
80,18300000,1500,Adyar,3,12200
81,23200000,1545,Adyar,3,15016
82,7000000,2500,Adyar,3,2800
83,11000000,2235,Adyar,3,4921
84,6800000,2777,Adyar,3,2448
85,3769000,1618,Adyar,2,2329
86,8200000,1618,Adyar,2,5067
87,6200000,400,Airoli,1,15500
89,14900000,1245,Airoli,2,11967
90,14000000,1183,Airoli,2,11834
92,6400000,495,Airoli,1,12929
93,3800000,495,Airoli,1,7676
94,15500000,1050,Airoli,2,14761
95,7000000,600,Airoli,1,11666
96,6694000,600,Airoli,1,11156
97,7600000,650,Airoli,1,11692
98,7731000,650,Airoli,1,11893
99,9500000,650,Airoli,1,14615
100,6600000,780,Airoli,1,8461
101,7800000,640,Airoli,1,12187
102,7800000,660,Airoli,1,11818
103,5900000,660,Airoli,1,8939
104,5900000,666,Airoli,1,8858
105,7500000,666,Airoli,1,11261
106,7000000,1050,Airoli,1,6666
107,7000000,700,Airoli,1,10000
108,7000000,680,Airoli,1,10294
110,9000000,650,Airoli,1,13846
111,2400000,675,Airoli,1,3555
112,16800000,600,Airoli,1,28000
113,8700000,600,Airoli,1,14500
114,15500000,1200,Alaknanda,3,12916
116,15600000,1300,Alaknanda,2,12000
117,19000000,1450,Alaknanda,3,13103
118,19000000,1450,Alaknanda,3,13103
119,15000000,1200,Alaknanda,2,12500
120,15500000,1250,Alaknanda,2,12400
121,18700000,1450,Alaknanda,3,12896
122,18300000,1400,Alaknanda,3,13071
124,16500000,1350,Alaknanda,3,12222
125,15000000,1350,Alaknanda,2,11111
126,18500000,1450,Alaknanda,3,12758
127,18900000,1450,Alaknanda,3,13034
128,19600000,1450,Alaknanda,3,13517
129,16500000,1350,Alaknanda,2,12222
130,21500000,1650,Alaknanda,3,13030
131,19000000,1550,Alaknanda,3,12258
132,14100000,1250,Alaknanda,2,11280
133,22900000,1650,Alaknanda,3,13878
134,20500000,1450,Alaknanda,3,14137
136,19000000,1450,Alaknanda,3,13103
137,15500000,1250,Alaknanda,2,12400
138,17000000,1300,Alaknanda,2,13076
139,19000000,1400,Alaknanda,3,13571
140,13799999,1250,Alaknanda,2,11039
141,19500000,1450,Alaknanda,3,13448
143,16000000,1200,Alaknanda,2,13333
144,15000000,1200,Alaknanda,2,12500
146,17000000,1250,Alaknanda,2,13600
150,17500000,1350,Alaknanda,2,12962
152,17500000,1350,Alaknanda,3,12962
153,18500000,1400,Alaknanda,3,13214
154,21000000,1550,Alaknanda,3,13548
157,19500000,1150,Alaknanda,3,16956
158,20500000,1350,Alaknanda,3,15185
160,19900000,1150,Alaknanda,3,17304
161,19000000,1150,Alaknanda,2,16521
162,19000000,1400,Alaknanda,3,13571
163,16500000,1350,Alaknanda,3,12222
164,18500000,1300,Alaknanda,3,14230
165,24500000,1450,Alaknanda,3,16896
166,20099999,1550,Alaknanda,4,12967
167,19000000,1450,Alaknanda,3,13103
169,22500000,1550,Alaknanda,3,14516
172,16500000,1200,Alaknanda,2,13750
174,9000000,1200,Alaknanda,2,7500
175,10500000,1250,Alaknanda,2,8400
178,20000000,1300,Alaknanda,3,15384
179,17500000,1200,Alaknanda,3,14583
181,57400000,4995,Alipore,4,11491
182,52000000,4995,Alipore,4,10410
183,45000000,4100,Alipore,5,10975
184,42600000,3391,Alipore,4,12562
185,11100000,2665,Alipore,3,4165
186,4429000,2348,Alipore,3,1886
192,3372000,1900,Alipore,3,1774
193,9500000,1609,Alipore,3,5904
194,11500000,1435,Alipore,3,8013
195,8500000,1525,Alipore,3,5573
196,11000000,1709,Alipore,3,6436
197,5600000,1525,Alipore,3,3672
198,5600000,1709,Alipore,3,3276
200,2632000,2800,Alipore,3,940
201,3900000,2800,Alipore,3,1392
202,5000000,1919,Alipore,3,2605
204,2868000,1112,Alipore,2,2579
206,13500000,3000,Alipore,4,4500
207,5000000,1360,Alipore,2,3676
208,10000000,1186,Alipore,3,8431
209,9996000,1360,Alipore,2,7350
210,4700000,1875,Alipore,3,2506
211,11000000,3319,Alipore,4,3314
212,8528000,2459,Alipore,3,3468
214,2322000,2459,Alipore,3,944
215,15800000,1703,Alipore,3,9277
216,8208000,1609,Alipore,3,5101
217,6500000,1525,Alipore,3,4262
218,4500000,1435,Alipore,3,3135
219,7000000,1703,Alipore,3,4110
220,8423000,1609,Alipore,3,5234
221,7103000,1525,Alipore,3,4657
222,6548000,1435,Alipore,3,4563
223,3300000,2560,Alipore,3,1289
224,10800000,813,Alipore,2,13284
226,2600000,1819,Alipore,3,1429
230,11000000,1550,Alipore,3,7096
239,5640000,4527,Alipore,3,1245
240,4461000,2525,Alipore,3,1766
241,17500000,3762,Alipore,4,4651
242,27599999,5359,Alipore,4,5150
251,5700000,4527,Alipore,3,1259
252,12700000,4527,Alipore,3,2805
253,8550000,4527,Alipore,3,1888
254,11000000,4527,Alipore,3,2429
255,7943000,4527,Alipore,3,1754
256,10500000,4527,Alipore,3,2319
257,3171000,4527,Alipore,3,700
258,7852000,4527,Alipore,3,1734
259,3168000,4527,Alipore,3,699
260,3274000,4527,Alipore,3,723
262,6327000,2500,Alipore,3,2530
264,11399999,3319,Alipore,4,3434
278,7006000,2525,Alipore,3,2774
280,2927000,4527,Alipore,3,646
281,5739000,1295,Alwal,3,4431
282,5739000,1295,Alwal,3,4431
284,4840000,1210,Alwal,2,4000
285,4880000,1220,Alwal,2,4000
286,4580000,1145,Alwal,2,4000
287,4580000,1145,Alwal,2,4000
289,5085000,1130,Alwal,2,4500
290,5320000,1330,Alwal,2,4000
291,4000000,1050,Alwal,2,3809
292,5450000,1300,Alwal,2,4192
293,4000000,1050,Alwal,2,3809
294,5450000,1300,Alwal,2,4192
296,4320000,1080,Alwal,2,4000
297,11500000,1000,Alwarpet,2,11500
298,54900000,3050,Alwarpet,3,18000
299,32500000,2316,Alwarpet,3,14032
300,54900000,3050,Alwarpet,3,18000
301,13700000,2348,Alwarpet,3,5834
302,21400000,2348,Alwarpet,3,9114
303,27300000,2476,Alwarpet,3,11025
304,22700000,2348,Alwarpet,3,9667
305,27599999,2476,Alwarpet,3,11147
306,26400000,2348,Alwarpet,3,11243
307,3881000,721,Ambattur,2,5382
308,5203000,946,Ambattur,2,5500
309,4708000,856,Ambattur,2,5500
310,5318000,967,Ambattur,2,5499
311,2975000,541,Ambattur,1,5499
312,2343000,426,Ambattur,1,5500
313,3888000,707,Ambattur,2,5499
314,3888000,707,Ambattur,2,5499
316,2850000,600,Ambattur,2,4750
317,6934999,1235,Ambattur,3,5615
318,6934999,1235,Ambattur,2,5615
319,5808000,939,Ambattur,2,6185
320,3881000,721,Ambattur,2,5382
321,3881000,721,Ambattur,2,5382
322,5737000,927,Ambattur,2,6188
323,3881000,721,Ambattur,2,5382
324,5808000,939,Ambattur,2,6185
325,4635000,872,Ambattur,2,5315
326,3881000,721,Ambattur,2,5382
327,5737000,927,Ambattur,2,6188
328,3881000,721,Ambattur,2,5382
329,3881000,721,Ambattur,2,5382
330,3881000,721,Ambattur,2,5382
331,3881000,721,Ambattur,2,5382
332,4705000,886,Ambattur,2,5310
333,3881000,721,Ambattur,2,5382
334,3881000,721,Ambattur,2,5382
335,3881000,721,Ambattur,2,5382
336,5808000,939,Ambattur,2,6185
337,3881000,721,Ambattur,2,5382
338,4705000,886,Ambattur,2,5310
339,4705000,886,Ambattur,2,5310
340,5808000,939,Ambattur,2,6185
341,4705000,886,Ambattur,2,5310
342,5808000,939,Ambattur,2,6185
343,5808000,939,Ambattur,2,6185
344,5808000,939,Ambattur,2,6185
345,3881000,721,Ambattur,2,5382
346,4705000,886,Ambattur,2,5310
347,3986999,886,Ambattur,2,4499
348,3924000,872,Ambattur,2,4500
349,5737000,927,Ambattur,2,6188
350,3881000,721,Ambattur,2,5382
351,3881000,721,Ambattur,2,5382
352,3986999,886,Ambattur,2,4499
353,3924000,872,Ambattur,2,4500
354,3800000,872,Ambattur,2,4357
355,6500000,939,Ambattur,2,6922
356,3881000,721,Ambattur,2,5382
357,6400000,721,Ambattur,2,8876
358,3244000,721,Ambattur,2,4499
359,3800000,721,Ambattur,2,5270
360,4635000,939,Ambattur,2,4936
361,4635000,872,Ambattur,2,5315
362,4200000,872,Ambattur,2,4816
363,3244000,721,Ambattur,2,4499
364,4635000,721,Ambattur,2,6428
365,3250000,872,Ambattur,2,3727
366,5737000,939,Ambattur,2,6109
367,5737000,927,Ambattur,2,6188
368,5808000,927,Ambattur,2,6265
369,3000000,939,Ambattur,2,3194
370,3881000,721,Ambattur,2,5382
371,3881000,721,Ambattur,2,5382
372,4737000,1047,Ambattur,2,4524
373,6717000,1053,Ambattur,2,6378
378,4635000,721,Ambattur,2,6428
379,4635000,872,Ambattur,2,5315
380,3244000,872,Ambattur,2,3720
381,5400000,721,Ambattur,2,7489
382,8500000,939,Ambattur,2,9052
383,8500000,939,Ambattur,2,9052
384,7898000,927,Ambattur,2,8519
385,5737000,721,Ambattur,2,7957
386,3881000,927,Ambattur,2,4186
387,3881000,721,Ambattur,2,5382
388,4635000,721,Ambattur,2,6428
389,4635000,872,Ambattur,2,5315
390,3881000,872,Ambattur,2,4450
391,3881000,721,Ambattur,2,5382
392,2630000,721,Ambattur,2,3647
394,4508000,1025,Ambattur,2,4398
395,2751000,721,Ambattur,2,3815
396,4635000,721,Ambattur,2,6428
397,5737000,939,Ambattur,2,6109
398,3800000,721,Ambattur,2,5270
399,4600000,927,Ambattur,2,4962
400,3244000,872,Ambattur,2,3720
401,3886999,721,Ambattur,2,5391
402,5737000,939,Ambattur,2,6109
403,3881000,927,Ambattur,2,4186
404,3881000,721,Ambattur,2,5382
405,4500000,721,Ambattur,2,6241
406,4635000,872,Ambattur,2,5315
407,3800000,872,Ambattur,2,4357
408,3244000,927,Ambattur,2,3499
409,3881000,721,Ambattur,2,5382
410,4635000,872,Ambattur,2,5315
411,3499000,872,Ambattur,2,4012
412,3881000,721,Ambattur,2,5382
413,5808000,721,Ambattur,2,8055
414,5808000,939,Ambattur,2,6185
415,5737000,939,Ambattur,2,6109
416,3881000,927,Ambattur,2,4186
417,3881000,721,Ambattur,2,5382
418,4635000,721,Ambattur,2,6428
419,3000000,872,Ambattur,2,3440
420,5737000,939,Ambattur,2,6109
421,3881000,927,Ambattur,2,4186
422,3881000,721,Ambattur,2,5382
423,3881000,721,Ambattur,2,5382
424,4635000,721,Ambattur,2,6428
425,4635000,872,Ambattur,2,5315
426,6700000,872,Ambattur,2,7683
427,3945000,939,Ambattur,2,4201
428,6659999,721,Ambattur,2,9237
429,5808000,872,Ambattur,2,6660
430,5808000,939,Ambattur,2,6185
431,3924000,939,Ambattur,2,4178
432,3244000,872,Ambattur,2,3720
433,3881000,721,Ambattur,2,5382
434,5506000,721,Ambattur,2,7636
435,3924000,927,Ambattur,2,4233
436,3924000,872,Ambattur,2,4500
437,7900000,872,Ambattur,2,9059
438,5737000,927,Ambattur,2,6188
439,3881000,927,Ambattur,2,4186
440,3986999,721,Ambattur,2,5529
441,3621000,886,Ambattur,2,4086
442,4999000,721,Ambattur,2,6933
443,3881000,872,Ambattur,2,4450
445,3924000,939,Ambattur,2,4178
446,3924000,927,Ambattur,2,4233
447,3881000,872,Ambattur,2,4450
448,3244000,872,Ambattur,2,3720
449,5263000,721,Ambattur,2,7299
450,2059000,721,Ambattur,2,2855
451,3881000,721,Ambattur,2,5382
452,4757000,721,Ambattur,2,6597
453,2781000,721,Ambattur,2,3857
454,4610000,721,Ambattur,2,6393
455,7213000,721,Ambattur,2,10004
456,5737000,721,Ambattur,2,7957
457,5405000,927,Ambattur,2,5830
458,7108000,886,Ambattur,2,8022
459,5550000,886,Ambattur,2,6264
462,5821000,1047,Ambattur,2,5559
463,6730000,1053,Ambattur,2,6391
470,5965000,721,Ambattur,2,8273
471,3800000,890,Ambattur,2,4269
472,8600000,867,Ambattur,2,9919
473,2450000,930,Ambattur,2,2634
474,4150000,760,Ambattur,2,5460
475,3500000,965,Ambattur,2,3626
477,4161999,821,Ambattur,2,5069
478,2900000,840,Ambattur,2,3452
479,7051000,925,Ambattur,2,7622
480,4796000,705,Ambattur,2,6802
481,3601000,1090,Ambattur,2,3303
482,7500000,925,Ambattur,2,8108
483,2513000,760,Ambattur,2,3306
484,2408000,740,Ambattur,2,3254
485,3874000,730,Ambernath East,1,5306
486,2300000,690,Ambernath East,1,3333
487,5800000,466,Ambernath East,1,12446
488,2565000,595,Ambernath East,1,4310
